time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769891072.0,,,nan,,,
443769891328,10,0.0,2.0,0.0,70,0
443769891584,10,0.0,,0.0,70,0
443769891840,10,0.0,,0.0,70,0
443769892096,10,0.0,,0.3515625,70,0
443769892352,10,0.0,,0.30859375,70,0
443769892608,10,0.0,,0.2265625,70,0
443769892864,10,0.0,,0.52734375,70,0
443769893120,10,0.0,,0.34375,70,0
443769893376,10,0.0,,0.3203125,70,0
443769893632,10,0.0,,0.55078125,70,0
443769893888,10,0.0,,0.3046875,70,0
443769894144,15,8406.24,,0.21484375,70,52
443769894400,27,8406.24,,0.26953125,70,52
443769894656,38,8406.24,,0.046875,79,0
443769894912,41,8406.24,,0.12890625,79,0
443769895168,41,8406.24,,0.1171875,79,0
443769895424,40,8406.24,,0.10546875,79,0
443769895680,39,8406.24,,0.0859375,80,0
443769895936,39,8406.24,,0.0625,81,0
443769896192,39,8406.24,,0.01953125,83,0
443769896448,39,8406.24,,0.02734375,83,0
443769896704,39,8406.24,,0.05859375,83,0
443769896960,39,8406.24,,0.07421875,78,0
443769897216,34,3452.7999999999997,,0.171875,79,0
443769897472,22,6533.759999999999,,0.2421875,82,0
443769897728,12,10145.92,,0.0625,84,0
443769897984,11,10145.92,,0.07421875,87,0
443769898240,14,14501.759999999998,,0.07421875,89,0
443769898496,16,14501.759999999998,,0.01953125,90,0
443769898752,17,14501.759999999998,,0.0625,90,0
443769899008,17,18392.8,,0.0234375,90,0
443769899264,17,18392.8,,0.09375,92,0
443769899520,17,18392.8,,0.0703125,92,0
443769899776,18,18392.8,,0.0546875,93,0
443769900032,17,18167.04,,0.08203125,93,0
443769900288,17,18167.04,,0.078125,92,0
443769900544,17,18167.04,,0.08984375,92,0
443769900800,17,19176.32,,0.03125,91,0
443769901056,16,19176.32,,0.08203125,91,0
443769901312,16,19176.32,,0.01953125,89,0
443769901568,17,29720.64,,0.03515625,88,0
443769901824,21,29720.64,,0.08203125,87,0
443769902080,24,29720.64,,0.0625,86,0
443769902336,25,29720.64,,0.046875,86,0
443769902592,25,29720.64,,0.04296875,87,0
443769902848,24,28392.64,,0.0390625,86,0
443769903104,22,25816.32,,0.0546875,86,0
443769903360,20,25816.32,,0.046875,85,0
443769903616,19,25816.32,,0.05859375,84,0
443769903872,19,25816.32,,0.07421875,84,0
443769904128,19,22549.44,,0.03125,84,0
443769904384,19,20105.92,,0.046875,85,0
443769904640,19,20105.92,,0.06640625,85,0
443769904896,19,20105.92,,0.10546875,85,0
443769905152,20,21526.879999999997,,0.1484375,85,0
443769905408,20,21526.879999999997,,0.1875,85,0
443769905664,20,21526.879999999997,,0.16796875,86,0
443769905920,20,21526.879999999997,,0.0703125,86,0
443769906176,20,21526.879999999997,,0.125,87,0
443769906432,20,21526.879999999997,,0.109375,87,0
443769906688,20,24023.52,,0.125,87,0
443769906944,19,24023.52,,0.09765625,87,0
443769907200,19,24023.52,,0.18359375,88,0
443769907456,18,24873.44,,0.171875,88,0
443769907712,18,24873.44,,0.09375,89,0
443769907968,18,24873.44,,0.04296875,89,0
443769908224,18,24873.44,,0.0703125,89,0
443769908480,18,24873.44,,0.08203125,89,0
443769908736,18,24873.44,,0.15625,90,0
443769908992,18,24873.44,,0.19140625,91,0
443769909248,18,24873.44,3.0,0.0234375,91,0
443769909504,18,24873.44,,0.01953125,91,0
443769909760,18,26267.84,,0.015625,90,0
443769910016,16,26267.84,,0.015625,89,0
443769910272,15,26267.84,,0.015625,88,0
443769910528,15,26267.84,,0.0,87,0
443769910784,15,25192.16,2.0,0.09375,86,0
443769911040,14,25192.16,,0.15625,85,0
443769911296,14,25192.16,,0.0546875,85,0
443769911552,14,24514.879999999997,,0.03125,85,0
443769911808,14,24514.879999999997,,0.04296875,85,0
443769912064,14,24514.879999999997,,0.015625,85,0
