time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769901312.0,,,nan,,,
443769901568,10,0.0,2.0,0.0,70,0
443769901824,10,0.0,,0.0,70,0
443769902080,10,0.0,,0.0,70,0
443769902336,10,0.0,,0.15625,70,0
443769902592,10,0.0,,0.30859375,70,0
443769902848,10,0.0,,0.1796875,70,0
443769903104,10,0.0,,0.31640625,70,0
443769903360,10,0.0,,0.859375,70,0
443769903616,10,0.0,,0.4921875,70,0
443769903872,10,0.0,,0.66796875,70,0
443769904128,10,0.0,5.0,0.36328125,70,43
443769904384,12,18113.92,,0.21484375,88,66
443769904640,19,16400.8,,0.15234375,88,59
443769904896,29,16400.8,,0.06640625,90,0
443769905152,34,14541.599999999999,,0.04296875,90,0
443769905408,34,14541.599999999999,,0.0546875,90,0
443769905664,32,14541.599999999999,,0.03515625,85,0
443769905920,31,16785.92,,0.08203125,87,0
443769906176,29,16188.32,,0.1484375,87,0
443769906432,29,17064.8,,0.1171875,87,0
443769906688,31,17064.8,,0.03125,88,0
443769906944,32,17064.8,,0.04296875,89,0
443769907200,33,17064.8,,0.07421875,91,0
443769907456,32,20398.079999999998,,0.0546875,92,0
443769907712,30,20398.079999999998,,0.16796875,92,0
443769907968,28,20398.079999999998,,0.19140625,92,0
443769908224,28,20398.079999999998,,0.1171875,91,0
443769908480,28,20398.079999999998,,0.03515625,90,0
443769908736,28,20398.079999999998,,0.0234375,91,0
443769908992,28,20398.079999999998,,0.0,94,0
443769909248,27,20398.079999999998,,0.0,95,0
443769909504,23,16414.079999999998,,0.05859375,95,0
443769909760,21,16414.079999999998,,0.0546875,95,0
443769910016,20,16414.079999999998,,0.04296875,93,0
443769910272,21,16414.079999999998,,0.1015625,92,0
443769910528,21,16175.039999999999,,0.0859375,90,0
443769910784,20,16175.039999999999,,0.03125,89,0
443769911040,18,16175.039999999999,,0.03125,88,0
443769911296,18,16175.039999999999,,0.03125,90,0
443769911552,18,16175.039999999999,,0.03125,91,0
443769911808,18,15112.64,,0.03125,92,0
443769912064,17,15112.64,,0.03515625,92,0
443769912320,16,15112.64,,0.015625,91,0
443769912576,16,15112.64,,0.109375,90,0
443769912832,16,15112.64,,0.18359375,94,0
443769913088,16,15112.64,,0.37109375,95,0
443769913344,16,15112.64,,0.21484375,98,0
443769913600,16,21181.6,,0.1484375,98,0
443769913856,15,21181.6,,0.15625,98,0
443769914112,14,21181.6,,0.2421875,99,0
443769914368,14,21181.6,,0.3203125,101,0
443769914624,13,19760.64,,0.3125,103,0
443769914880,13,19760.64,,0.3359375,110,35
443769915136,13,19760.64,,0.234375,114,56
443769915392,12,19760.64,,0.17578125,116,60
443769915648,12,19760.64,,0.11328125,118,48
443769915904,12,20876.16,,0.09765625,123,0
443769916160,12,20876.16,,0.0546875,126,0
443769916416,11,20876.16,,0.0703125,127,0
443769916672,11,20876.16,,0.0390625,129,0
443769916928,11,20876.16,,0.01953125,130,0
443769917184,11,20278.559999999998,,0.046875,131,0
443769917440,11,20278.559999999998,,0.03515625,131,0
443769917696,11,20278.559999999998,,0.01953125,132,0
443769917952,11,20278.559999999998,,0.0625,132,0
443769918208,11,20278.559999999998,,0.14453125,132,0
443769918464,11,20278.559999999998,,0.05078125,132,0
443769918720,11,22602.559999999998,,0.0625,131,0
443769918976,11,22602.559999999998,,0.078125,129,0
443769919232,11,22602.559999999998,,0.1015625,128,0
443769919488,12,22602.559999999998,,0.0703125,127,0
443769919744,12,22602.559999999998,,0.0546875,126,0
443769920000,12,22602.559999999998,,0.0546875,126,0
443769920256,11,22602.559999999998,,0.2109375,125,0
443769920512,11,20783.2,,0.078125,123,0
443769920768,11,20783.2,,0.06640625,121,0
443769921024,11,20783.2,,0.125,119,0
443769921280,10,20783.2,,0.19921875,119,0
443769921536,10,20783.2,,0.0625,119,0
443769921792,10,22323.68,,0.03515625,117,0
443769922048,11,22323.68,,0.02734375,116,0
443769922304,11,22323.68,,0.03515625,113,0
443769922560,11,22323.68,,0.02734375,112,0
443769922816,10,22323.68,,0.03125,112,0
443769923072,10,22323.68,,0.02734375,111,0
443769923328,10,22323.68,,0.0390625,110,0
443769923584,11,15643.84,,0.08203125,109,0
443769923840,11,15643.84,,0.0625,109,0
443769924096,11,15643.84,,0.07421875,109,0
443769924352,11,15643.84,,0.04296875,110,0
443769924608,11,16666.399999999998,,0.109375,112,0
443769924864,11,16666.399999999998,,0.0859375,113,0
443769925120,11,16666.399999999998,,0.03515625,115,0
443769925376,11,16666.399999999998,,0.1484375,117,0
443769925632,11,16374.24,,0.13671875,120,0
443769925888,11,16374.24,,0.109375,121,0
443769926144,11,16374.24,,0.05859375,120,0
443769926400,11,16374.24,,0.046875,119,0
443769926656,11,16374.24,,0.06640625,119,0
443769926912,11,14900.16,,0.09375,119,0
443769927168,11,14900.16,,0.0390625,116,0
443769927424,11,14900.16,,0.0546875,115,0
443769927680,11,14900.16,,0.1015625,114,0
443769927936,11,14900.16,,0.0546875,113,0
443769928192,11,14900.16,,0.046875,112,0
443769928448,11,14900.16,,0.1015625,112,0
443769928704,11,14900.16,,0.04296875,111,0
443769928960,11,13758.08,,0.0546875,111,0
443769929216,10,13758.08,,0.0546875,110,0
443769929472,10,13758.08,,0.05078125,110,0
443769929728,10,13758.08,,0.0546875,110,0
443769929984,10,15457.92,,0.04296875,112,0
443769930240,11,15457.92,,0.09765625,112,0
443769930496,11,15457.92,,0.0390625,112,0
443769930752,11,15457.92,,0.0546875,112,0
443769931008,11,15457.92,,0.05078125,110,0
443769931264,11,15457.92,,0.07421875,110,0
443769931520,11,15457.92,,0.0703125,110,0
443769931776,11,15457.92,,0.26953125,111,0
443769932032,11,15099.359999999999,,0.30078125,111,0
443769932288,11,15099.359999999999,,0.1953125,112,0
443769932544,10,15099.359999999999,,0.078125,113,0
443769932800,10,15099.359999999999,,0.0234375,114,0
443769933056,10,16971.84,,0.046875,115,0
443769933312,11,16971.84,,0.16015625,117,0
443769933568,11,16971.84,,0.03515625,119,0
443769933824,11,16971.84,,0.046875,119,0
443769934080,11,16971.84,,0.17578125,120,0
443769934336,11,17556.16,,0.01953125,120,0
443769934592,11,17556.16,,0.046875,120,0
443769934848,11,17556.16,,0.125,120,0
443769935104,11,17556.16,,0.1171875,118,0
443769935360,11,17556.16,,0.02734375,117,0
443769935616,11,17556.16,,0.16796875,115,0
443769935872,11,17556.16,,0.11328125,114,0
443769936128,11,15325.119999999999,,0.05859375,112,0
443769936384,11,15325.119999999999,,0.015625,111,0
443769936640,10,15325.119999999999,,0.03515625,110,0
443769936896,10,15325.119999999999,,0.08984375,108,0
443769937152,10,15325.119999999999,,0.109375,107,0
