time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769906176.0,,,nan,,,
443769906432,10,0.0,2.0,0.0,70,0
443769906688,10,0.0,,0.0,70,0
443769906944,10,0.0,,0.0,70,0
443769907200,10,0.0,,0.19140625,70,0
443769907456,10,0.0,,0.3671875,70,0
443769907712,10,0.0,,0.55078125,70,0
443769907968,10,0.0,,0.21875,70,0
443769908224,10,0.0,,0.2109375,70,0
443769908480,10,0.0,,0.1015625,70,0
443769908736,11,13665.119999999999,,0.1328125,116,0
443769908992,14,13665.119999999999,,0.171875,114,0
443769909248,17,13665.119999999999,,0.19140625,113,0
443769909504,18,16307.839999999998,,0.171875,111,0
443769909760,19,16307.839999999998,,0.296875,110,0
443769910016,21,23173.6,,0.26953125,103,0
443769910272,22,23173.6,,0.421875,103,0
443769910528,22,23173.6,,0.52734375,102,0
443769910784,22,23173.6,,0.4296875,102,0
443769911040,22,23173.6,,0.2109375,102,50
443769911296,22,23173.6,,0.25390625,101,74
443769911552,22,23173.6,,0.20703125,101,99
443769911808,22,23173.6,,0.0703125,102,114
443769912064,21,14687.679999999998,,0.17578125,104,110
443769912320,18,14687.679999999998,,0.13671875,105,90
443769912576,15,15949.279999999999,,0.125,106,70
443769912832,15,15949.279999999999,,0.12890625,108,61
443769913088,16,15949.279999999999,,0.29296875,110,58
443769913344,17,23107.199999999997,,0.0859375,110,49
443769913600,17,24262.559999999998,,0.06640625,109,0
443769913856,18,24262.559999999998,,0.1484375,109,0
443769914112,19,24262.559999999998,,0.19921875,109,0
443769914368,19,24262.559999999998,,0.1796875,109,0
443769914624,19,23890.719999999998,,0.109375,109,0
443769914880,19,23890.719999999998,,0.14453125,108,0
443769915136,19,24302.399999999998,,0.03515625,108,0
443769915392,19,24302.399999999998,,0.14453125,107,0
443769915648,19,22270.559999999998,,0.2890625,107,0
443769915904,19,22270.559999999998,,0.29296875,107,0
443769916160,19,22270.559999999998,,0.22265625,107,0
443769916416,19,22270.559999999998,,0.02734375,108,0
443769916672,19,22270.559999999998,,0.0234375,109,0
443769916928,19,27635.68,,0.03515625,110,0
443769917184,20,27635.68,,0.17578125,111,0
443769917440,21,27635.68,,0.203125,111,0
443769917696,22,27635.68,,0.16015625,111,0
